Key pressed,Correct?,y-value,Red,Green,Left Blue,Right Blue,Percent Different,time
f,correct,1,-0.650,-0.650,0.512,0.500,2.500,1.215
f,incorrect,0,-0.650,-0.650,0.500,0.550,10.000,1.202
f,incorrect,0,-0.650,-0.650,0.500,0.550,10.000,1.733
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,1.041
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.761
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.729
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,0.713
f,incorrect,0,-0.650,-0.650,0.400,0.500,20.000,0.976
f,incorrect,0,-0.650,-0.650,0.400,0.500,20.000,1.254
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,0.712
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,0.794
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,1.353
f,incorrect,0,-0.650,-0.650,0.500,0.550,10.000,1.419
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,1.680
f,correct,1,-0.650,-0.650,0.500,0.450,10.000,0.777
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,0.515
f,incorrect,0,-0.650,-0.650,0.500,0.506,1.250,0.710
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,1.335
f,incorrect,0,-0.650,-0.650,0.400,0.500,20.000,1.285
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,1.634
f,incorrect,0,-0.650,-0.650,0.500,0.600,20.000,0.549
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,1.353
f,incorrect,0,-0.650,-0.650,0.450,0.500,10.000,1.400
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.961
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.582
f,incorrect,0,-0.650,-0.650,0.450,0.500,10.000,1.253
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,0.679
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,0.876
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.908
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,1.255
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,0.531
f,incorrect,0,-0.650,-0.650,0.450,0.500,10.000,0.646
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,1.760
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,0.595
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,0.843
f,incorrect,0,-0.650,-0.650,0.500,0.550,10.000,0.734
f,correct,1,-0.650,-0.650,0.512,0.500,2.500,0.759
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.499
f,incorrect,0,-0.650,-0.650,0.475,0.500,5.000,0.451
f,correct,1,-0.650,-0.650,0.512,0.500,2.500,0.712
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,0.416
f,incorrect,0,-0.650,-0.650,0.450,0.500,10.000,0.383
f,incorrect,0,-0.650,-0.650,0.400,0.500,20.000,0.515
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,0.332
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,0.646
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,0.909
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,1.057
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.779
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.814
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,0.680
