Key pressed,Correct?,y-value,Red,Green,Left Blue,Right Blue,Percent Different,time
0.0,timeout,0,-0.650,-0.650,0.500,0.450,10.000,2.007
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,1.384
j,correct,1,-0.650,-0.650,0.500,0.525,5.000,1.289
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,1.761
f,incorrect,0,-0.650,-0.650,0.475,0.500,5.000,1.582
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,1.172
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,1.318
f,correct,1,-0.650,-0.650,0.500,0.450,10.000,1.221
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,1.253
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,1.335
0.0,timeout,0,-0.650,-0.650,0.487,0.500,2.500,2.008
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,1.567
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,0.937
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,0.908
f,incorrect,0,-0.650,-0.650,0.500,0.600,20.000,1.027
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,1.104
f,incorrect,0,-0.650,-0.650,0.500,0.506,1.250,0.695
f,incorrect,0,-0.650,-0.650,0.500,0.506,1.250,0.615
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,0.876
f,correct,1,-0.650,-0.650,0.500,0.450,10.000,0.779
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,1.091
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,0.762
f,incorrect,0,-0.650,-0.650,0.450,0.500,10.000,0.580
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,1.317
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,1.470
f,incorrect,0,-0.650,-0.650,0.500,0.550,10.000,1.058
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,1.286
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,1.485
0.0,timeout,0,-0.650,-0.650,0.494,0.500,1.250,2.009
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,1.038
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.629
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,1.286
j,incorrect,0,-0.650,-0.650,0.525,0.500,5.000,1.272
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,1.745
0.0,timeout,0,-0.650,-0.650,0.506,0.500,1.250,2.015
j,incorrect,0,-0.650,-0.650,0.500,0.400,20.000,0.966
j,incorrect,0,-0.650,-0.650,0.600,0.500,20.000,0.794
j,correct,1,-0.650,-0.650,0.500,0.512,2.500,0.566
j,correct,1,-0.650,-0.650,0.500,0.525,5.000,0.480
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,1.255
j,correct,1,-0.650,-0.650,0.475,0.500,5.000,0.777
j,correct,1,-0.650,-0.650,0.500,0.550,10.000,1.404
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,0.844
j,incorrect,0,-0.650,-0.650,0.550,0.500,10.000,0.893
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,1.270
f,incorrect,0,-0.650,-0.650,0.500,0.550,10.000,1.007
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,0.678
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.776
f,incorrect,0,-0.650,-0.650,0.500,0.506,1.250,1.091
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,1.321
