Key pressed,Correct?,y-value,Red,Green,Left Blue,Right Blue,Percent Different,time
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,0.751
j,correct,1,-0.650,-0.650,0.494,0.500,1.250,1.172
j,incorrect,0,-0.650,-0.650,0.506,0.500,1.250,1.204
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,0.777
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,0.583
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,0.696
j,correct,1,-0.650,-0.650,0.475,0.500,5.000,0.958
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,1.055
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.679
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,0.993
f,incorrect,0,-0.650,-0.650,0.400,0.500,20.000,0.762
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,0.844
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,1.090
j,correct,1,-0.650,-0.650,0.500,0.506,1.250,1.123
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,0.958
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,1.042
j,incorrect,0,-0.650,-0.650,0.500,0.487,2.500,1.155
j,incorrect,0,-0.650,-0.650,0.500,0.400,20.000,0.957
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.647
j,correct,1,-0.650,-0.650,0.487,0.500,2.500,0.830
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,0.744
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,0.943
j,correct,1,-0.650,-0.650,0.500,0.525,5.000,1.056
j,correct,1,-0.650,-0.650,0.500,0.512,2.500,1.039
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,1.039
f,incorrect,0,-0.650,-0.650,0.475,0.500,5.000,0.958
f,correct,1,-0.650,-0.650,0.500,0.450,10.000,1.140
j,correct,1,-0.650,-0.650,0.500,0.512,2.500,1.157
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,0.874
j,incorrect,0,-0.650,-0.650,0.500,0.450,10.000,1.044
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,1.254
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,0.939
j,correct,1,-0.650,-0.650,0.475,0.500,5.000,1.270
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.912
j,incorrect,0,-0.650,-0.650,0.500,0.475,5.000,1.433
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,0.793
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,0.763
j,incorrect,0,-0.650,-0.650,0.506,0.500,1.250,1.291
j,incorrect,0,-0.650,-0.650,0.525,0.500,5.000,1.213
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.983
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,1.106
f,incorrect,0,-0.650,-0.650,0.500,0.550,10.000,1.683
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,1.632
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,1.088
j,correct,1,-0.650,-0.650,0.500,0.550,10.000,1.190
f,correct,1,-0.650,-0.650,0.512,0.500,2.500,1.253
j,incorrect,0,-0.650,-0.650,0.500,0.450,10.000,1.025
f,correct,1,-0.650,-0.650,0.500,0.450,10.000,1.352
j,correct,1,-0.650,-0.650,0.500,0.550,10.000,1.334
j,incorrect,0,-0.650,-0.650,0.550,0.500,10.000,1.322
