Key pressed,Correct?,y-value,Red,Green,Left Blue,Right Blue,Percent Different,time
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,0.699
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,0.747
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,0.729
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.631
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,0.664
f,incorrect,0,-0.650,-0.650,0.500,0.550,10.000,0.809
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.645
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.762
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,0.942
j,correct,1,-0.650,-0.650,0.500,0.550,10.000,1.089
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,0.828
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,0.729
j,correct,1,-0.650,-0.650,0.500,0.506,1.250,1.040
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,0.906
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.648
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,0.847
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,1.103
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,0.859
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,1.074
j,incorrect,0,-0.650,-0.650,0.506,0.500,1.250,0.992
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,0.861
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,1.009
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,0.926
f,incorrect,0,-0.650,-0.650,0.475,0.500,5.000,0.810
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,0.795
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,0.763
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,0.779
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,0.745
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,0.794
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,0.844
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,0.841
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,0.842
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,1.171
f,incorrect,0,-0.650,-0.650,0.500,0.550,10.000,1.058
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,0.925
j,correct,1,-0.650,-0.650,0.500,0.512,2.500,0.941
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,0.845
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,0.794
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,1.173
j,correct,1,-0.650,-0.650,0.500,0.525,5.000,0.976
f,incorrect,0,-0.650,-0.650,0.475,0.500,5.000,0.943
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.861
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,0.794
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,0.956
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,0.892
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,0.715
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,0.843
f,correct,1,-0.650,-0.650,0.512,0.500,2.500,0.694
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,0.940
f,incorrect,0,-0.650,-0.650,0.450,0.500,10.000,0.844
