Key pressed,Correct?,y-value,Red,Green,Left Blue,Right Blue,Percent Different,time
j,incorrect,0,-0.650,-0.650,0.512,0.500,2.500,0.181
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,1.336
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,0.990
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,1.207
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,0.759
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,0.746
f,incorrect,0,-0.650,-0.650,0.500,0.550,10.000,1.355
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,1.693
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,1.355
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,0.582
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,0.547
f,incorrect,0,-0.650,-0.650,0.500,0.506,1.250,0.598
f,correct,1,-0.650,-0.650,0.500,0.450,10.000,0.480
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,0.499
f,incorrect,0,-0.650,-0.650,0.500,0.550,10.000,0.639
f,correct,1,-0.650,-0.650,0.512,0.500,2.500,0.629
f,incorrect,0,-0.650,-0.650,0.400,0.500,20.000,0.391
f,incorrect,0,-0.650,-0.650,0.475,0.500,5.000,0.638
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,0.566
f,incorrect,0,-0.650,-0.650,0.500,0.506,1.250,1.925
j,incorrect,0,-0.650,-0.650,0.500,0.450,10.000,1.204
j,correct,1,-0.650,-0.650,0.475,0.500,5.000,1.289
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,0.957
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.830
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,0.614
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,1.452
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,0.562
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,0.465
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,1.305
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,0.744
j,incorrect,0,-0.650,-0.650,0.500,0.475,5.000,0.727
j,incorrect,0,-0.650,-0.650,0.500,0.400,20.000,1.272
j,correct,1,-0.650,-0.650,0.494,0.500,1.250,0.596
j,correct,1,-0.650,-0.650,0.500,0.550,10.000,0.565
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,1.499
j,correct,1,-0.650,-0.650,0.500,0.550,10.000,0.608
j,incorrect,0,-0.650,-0.650,0.512,0.500,2.500,0.679
j,correct,1,-0.650,-0.650,0.500,0.525,5.000,0.551
j,correct,1,-0.650,-0.650,0.475,0.500,5.000,0.539
j,correct,1,-0.650,-0.650,0.500,0.506,1.250,0.432
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,0.531
j,correct,1,-0.650,-0.650,0.494,0.500,1.250,0.449
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,0.432
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,1.451
j,correct,1,-0.650,-0.650,0.500,0.525,5.000,0.958
0.0,timeout,0,-0.650,-0.650,0.550,0.500,10.000,2.010
j,incorrect,0,-0.650,-0.650,0.525,0.500,5.000,0.615
j,incorrect,0,-0.650,-0.650,0.500,0.494,1.250,0.828
j,incorrect,0,-0.650,-0.650,0.500,0.450,10.000,0.777
j,correct,1,-0.650,-0.650,0.487,0.500,2.500,1.618
