Key pressed,Correct?,y-value,Red,Green,Left Blue,Right Blue,Percent Different,time
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,1.929
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,0.957
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,0.647
f,incorrect,0,-0.650,-0.650,0.500,0.600,20.000,1.401
f,incorrect,0,-0.650,-0.650,0.400,0.500,20.000,1.119
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,1.568
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,1.202
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,1.403
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,0.828
f,incorrect,0,-0.650,-0.650,0.500,0.550,10.000,0.779
f,incorrect,0,-0.650,-0.650,0.450,0.500,10.000,0.662
f,incorrect,0,-0.650,-0.650,0.500,0.550,10.000,0.532
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,1.483
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,1.271
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,1.257
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,1.582
f,incorrect,0,-0.650,-0.650,0.500,0.550,10.000,0.635
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,1.328
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,0.863
f,incorrect,0,-0.650,-0.650,0.500,0.506,1.250,1.238
f,correct,1,-0.650,-0.650,0.500,0.450,10.000,0.826
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,0.908
f,correct,1,-0.650,-0.650,0.512,0.500,2.500,1.041
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,0.877
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,0.647
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,0.662
f,incorrect,0,-0.650,-0.650,0.500,0.600,20.000,0.894
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,0.646
f,incorrect,0,-0.650,-0.650,0.475,0.500,5.000,0.631
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,0.630
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,0.695
f,incorrect,0,-0.650,-0.650,0.500,0.506,1.250,0.810
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.680
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,0.482
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,0.892
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,0.432
f,incorrect,0,-0.650,-0.650,0.475,0.500,5.000,0.415
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.483
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,0.500
f,incorrect,0,-0.650,-0.650,0.500,0.550,10.000,0.730
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.681
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,1.008
f,incorrect,0,-0.650,-0.650,0.450,0.500,10.000,0.629
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,0.762
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,0.582
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,0.697
f,incorrect,0,-0.650,-0.650,0.450,0.500,10.000,0.827
f,correct,1,-0.650,-0.650,0.500,0.450,10.000,1.007
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.730
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,0.992
