Key pressed,Correct?,y-value,Red,Green,Left Blue,Right Blue,Percent Different,time
f,incorrect,0,-0.650,-0.650,0.450,0.500,10.000,1.019
f,incorrect,0,-0.650,-0.650,0.400,0.500,20.000,0.892
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,0.861
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.794
j,incorrect,0,-0.650,-0.650,0.500,0.475,5.000,0.992
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,0.910
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.761
f,incorrect,0,-0.650,-0.650,0.500,0.506,1.250,1.139
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,0.890
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,0.843
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,1.009
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.910
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.795
f,incorrect,0,-0.650,-0.650,0.500,0.550,10.000,0.778
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,0.892
f,incorrect,0,-0.650,-0.650,0.500,0.600,20.000,0.909
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,1.024
f,correct,1,-0.650,-0.650,0.512,0.500,2.500,0.828
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,0.729
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,1.124
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,0.760
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.761
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,0.762
f,incorrect,0,-0.650,-0.650,0.450,0.500,10.000,0.892
j,correct,1,-0.650,-0.650,0.494,0.500,1.250,0.759
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,0.682
f,correct,1,-0.650,-0.650,0.512,0.500,2.500,0.763
f,incorrect,0,-0.650,-0.650,0.475,0.500,5.000,0.548
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,0.694
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,0.761
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,0.925
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,0.843
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,0.729
f,incorrect,0,-0.650,-0.650,0.450,0.500,10.000,0.794
j,correct,1,-0.650,-0.650,0.500,0.550,10.000,0.696
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,0.728
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,0.762
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,0.680
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,0.662
j,correct,1,-0.650,-0.650,0.487,0.500,2.500,0.565
j,incorrect,0,-0.650,-0.650,0.500,0.487,2.500,0.580
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.895
j,incorrect,0,-0.650,-0.650,0.550,0.500,10.000,0.819
j,correct,1,-0.650,-0.650,0.500,0.506,1.250,0.876
j,correct,1,-0.650,-0.650,0.487,0.500,2.500,0.878
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.730
f,correct,1,-0.650,-0.650,0.512,0.500,2.500,0.778
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,0.747
j,incorrect,0,-0.650,-0.650,0.500,0.450,10.000,0.711
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,1.041
