Key pressed,Correct?,y-value,Red,Green,Left Blue,Right Blue,Percent Different,time
j,incorrect,0,-0.650,-0.650,0.525,0.500,5.000,0.908
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,0.727
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,0.779
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.745
j,correct,1,-0.650,-0.650,0.500,0.512,2.500,0.744
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,0.564
j,incorrect,0,-0.650,-0.650,0.506,0.500,1.250,0.744
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,0.747
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.844
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,1.007
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,0.728
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.892
f,correct,1,-0.650,-0.650,0.512,0.500,2.500,0.875
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,0.781
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,0.647
j,correct,1,-0.650,-0.650,0.500,0.550,10.000,1.255
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,0.776
f,correct,1,-0.650,-0.650,0.500,0.450,10.000,0.958
j,incorrect,0,-0.650,-0.650,0.506,0.500,1.250,0.845
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,0.516
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.949
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,0.910
j,incorrect,0,-0.650,-0.650,0.600,0.500,20.000,0.858
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,0.781
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,0.894
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,0.974
j,correct,1,-0.650,-0.650,0.475,0.500,5.000,0.808
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.698
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,0.943
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,0.859
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,0.778
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,0.841
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,0.814
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,0.761
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,0.762
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,0.022
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,0.730
j,correct,1,-0.650,-0.650,0.500,0.550,10.000,0.598
f,correct,1,-0.650,-0.650,0.506,0.500,1.250,0.565
j,correct,1,-0.650,-0.650,0.500,0.550,10.000,0.597
f,incorrect,0,-0.650,-0.650,0.500,0.506,1.250,0.548
j,incorrect,0,-0.650,-0.650,0.500,0.400,20.000,0.761
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.959
j,incorrect,0,-0.650,-0.650,0.500,0.494,1.250,1.074
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.726
f,correct,1,-0.650,-0.650,0.500,0.450,10.000,0.729
j,incorrect,0,-0.650,-0.650,0.500,0.494,1.250,0.699
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,0.777
j,correct,1,-0.650,-0.650,0.500,0.512,2.500,0.876
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,0.776
