Key pressed,Correct?,y-value,Red,Green,Left Blue,Right Blue,Percent Different,time
0.0,timeout,0,-0.650,-0.650,0.500,0.475,5.000,2.002
j,incorrect,0,-0.650,-0.650,0.550,0.500,10.000,1.019
j,incorrect,0,-0.650,-0.650,0.506,0.500,1.250,0.535
j,incorrect,0,-0.650,-0.650,0.500,0.494,1.250,1.226
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,0.884
j,correct,1,-0.650,-0.650,0.475,0.500,5.000,1.156
0.0,timeout,0,-0.650,-0.650,0.500,0.512,2.500,2.017
0.0,timeout,0,-0.650,-0.650,0.450,0.500,10.000,2.010
j,incorrect,0,-0.650,-0.650,0.500,0.487,2.500,0.715
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,0.840
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,1.975
j,correct,1,-0.650,-0.650,0.500,0.506,1.250,0.890
j,correct,1,-0.650,-0.650,0.500,0.512,2.500,0.811
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,0.941
j,incorrect,0,-0.650,-0.650,0.506,0.500,1.250,1.190
0.0,timeout,0,-0.650,-0.650,0.550,0.500,10.000,2.015
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.950
f,incorrect,0,-0.650,-0.650,0.494,0.500,1.250,0.780
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,0.696
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,1.025
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,1.071
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,1.190
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,0.662
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,0.845
f,incorrect,0,-0.650,-0.650,0.400,0.500,20.000,0.925
f,incorrect,0,-0.650,-0.650,0.475,0.500,5.000,0.928
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,1.155
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.908
f,incorrect,0,-0.650,-0.650,0.500,0.506,1.250,1.059
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,1.384
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,1.649
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,1.973
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,1.700
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.598
f,correct,1,-0.650,-0.650,0.500,0.450,10.000,1.680
j,correct,1,-0.650,-0.650,0.500,0.525,5.000,1.153
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,0.891
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,0.744
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,0.943
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,1.190
j,correct,1,-0.650,-0.650,0.500,0.512,2.500,0.762
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,0.876
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,0.631
j,correct,1,-0.650,-0.650,0.500,0.512,2.500,0.859
j,correct,1,-0.650,-0.650,0.500,0.506,1.250,0.628
j,incorrect,0,-0.650,-0.650,0.525,0.500,5.000,0.579
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,1.041
j,correct,1,-0.650,-0.650,0.487,0.500,2.500,1.581
j,correct,1,-0.650,-0.650,0.494,0.500,1.250,1.370
j,correct,1,-0.650,-0.650,0.500,0.550,10.000,1.252
