Key pressed,Correct?,y-value,Red,Green,Left Blue,Right Blue,Percent Different,time
0.0,timeout,0,-0.650,-0.650,0.512,0.500,2.500,2.011
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,1.067
j,incorrect,0,-0.650,-0.650,0.525,0.500,5.000,1.465
0.0,timeout,0,-0.650,-0.650,0.500,0.600,20.000,2.000
j,incorrect,0,-0.650,-0.650,0.550,0.500,10.000,0.022
0.0,timeout,0,-0.650,-0.650,0.450,0.500,10.000,2.003
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,0.860
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,0.976
j,correct,1,-0.650,-0.650,0.500,0.506,1.250,1.466
j,correct,1,-0.650,-0.650,0.500,0.506,1.250,1.315
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,1.173
f,correct,1,-0.650,-0.650,0.500,0.475,5.000,1.187
j,correct,1,-0.650,-0.650,0.500,0.550,10.000,1.089
j,correct,1,-0.650,-0.650,0.475,0.500,5.000,1.074
j,correct,1,-0.650,-0.650,0.500,0.525,5.000,0.910
j,correct,1,-0.650,-0.650,0.500,0.550,10.000,0.796
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,1.091
j,correct,1,-0.650,-0.650,0.500,0.512,2.500,0.909
j,incorrect,0,-0.650,-0.650,0.500,0.494,1.250,1.204
j,correct,1,-0.650,-0.650,0.475,0.500,5.000,0.973
f,correct,1,-0.650,-0.650,0.500,0.494,1.250,1.406
j,incorrect,0,-0.650,-0.650,0.500,0.487,2.500,0.778
j,incorrect,0,-0.650,-0.650,0.525,0.500,5.000,1.093
j,correct,1,-0.650,-0.650,0.494,0.500,1.250,1.072
j,correct,1,-0.650,-0.650,0.475,0.500,5.000,0.910
j,correct,1,-0.650,-0.650,0.494,0.500,1.250,1.239
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,0.878
j,incorrect,0,-0.650,-0.650,0.500,0.487,2.500,1.598
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,0.950
j,correct,1,-0.650,-0.650,0.500,0.506,1.250,0.695
f,correct,1,-0.650,-0.650,0.500,0.400,20.000,1.663
j,incorrect,0,-0.650,-0.650,0.500,0.450,10.000,1.745
j,incorrect,0,-0.650,-0.650,0.500,0.487,2.500,1.139
f,incorrect,0,-0.650,-0.650,0.500,0.525,5.000,0.762
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,0.729
f,incorrect,0,-0.650,-0.650,0.500,0.512,2.500,1.025
f,incorrect,0,-0.650,-0.650,0.500,0.550,10.000,0.974
j,correct,1,-0.650,-0.650,0.500,0.512,2.500,1.140
j,incorrect,0,-0.650,-0.650,0.506,0.500,1.250,1.156
j,incorrect,0,-0.650,-0.650,0.525,0.500,5.000,0.730
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,0.859
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,0.728
j,incorrect,0,-0.650,-0.650,0.500,0.487,2.500,0.991
f,correct,1,-0.650,-0.650,0.600,0.500,20.000,0.841
j,correct,1,-0.650,-0.650,0.475,0.500,5.000,0.678
j,correct,1,-0.650,-0.650,0.500,0.506,1.250,0.699
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,0.761
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,0.664
f,correct,1,-0.650,-0.650,0.512,0.500,2.500,0.828
j,correct,1,-0.650,-0.650,0.494,0.500,1.250,0.777
