Key pressed,Correct?,y-value,Red,Green,Left Blue,Right Blue,Percent Different,time
f,correct,1,-0.650,-0.650,0.500,0.487,2.500,1.396
f,correct,1,-0.650,-0.650,0.500,0.450,10.000,1.153
f,correct,1,-0.650,-0.650,0.512,0.500,2.500,1.584
f,incorrect,0,-0.650,-0.650,0.500,0.506,1.250,1.550
0.0,timeout,0,-0.650,-0.650,0.475,0.500,5.000,2.009
f,correct,1,-0.650,-0.650,0.525,0.500,5.000,0.843
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,0.779
j,correct,1,-0.650,-0.650,0.500,0.550,10.000,0.759
f,correct,1,-0.650,-0.650,0.512,0.500,2.500,1.090
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,0.941
j,correct,1,-0.650,-0.650,0.475,0.500,5.000,0.614
j,correct,1,-0.650,-0.650,0.494,0.500,1.250,0.614
j,incorrect,0,-0.650,-0.650,0.512,0.500,2.500,0.598
j,correct,1,-0.650,-0.650,0.475,0.500,5.000,0.594
j,incorrect,0,-0.650,-0.650,0.500,0.400,20.000,0.580
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,0.663
j,incorrect,0,-0.650,-0.650,0.525,0.500,5.000,0.729
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,0.678
j,incorrect,0,-0.650,-0.650,0.506,0.500,1.250,1.698
0.0,timeout,0,-0.650,-0.650,0.494,0.500,1.250,2.010
j,incorrect,0,-0.650,-0.650,0.500,0.487,2.500,1.248
j,incorrect,0,-0.650,-0.650,0.525,0.500,5.000,1.125
j,incorrect,0,-0.650,-0.650,0.512,0.500,2.500,1.353
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,1.648
j,incorrect,0,-0.650,-0.650,0.600,0.500,20.000,1.487
j,incorrect,0,-0.650,-0.650,0.525,0.500,5.000,1.821
j,incorrect,0,-0.650,-0.650,0.500,0.450,10.000,1.863
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,1.288
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,1.252
f,correct,1,-0.650,-0.650,0.500,0.450,10.000,0.911
j,incorrect,0,-0.650,-0.650,0.506,0.500,1.250,1.171
j,incorrect,0,-0.650,-0.650,0.500,0.494,1.250,0.925
j,incorrect,0,-0.650,-0.650,0.500,0.494,1.250,0.992
j,correct,1,-0.650,-0.650,0.450,0.500,10.000,1.581
j,correct,1,-0.650,-0.650,0.500,0.525,5.000,0.679
j,correct,1,-0.650,-0.650,0.487,0.500,2.500,0.992
j,correct,1,-0.650,-0.650,0.400,0.500,20.000,1.159
0.0,timeout,0,-0.650,-0.650,0.500,0.506,1.250,2.007
j,correct,1,-0.650,-0.650,0.475,0.500,5.000,1.404
f,incorrect,0,-0.650,-0.650,0.487,0.500,2.500,1.484
j,incorrect,0,-0.650,-0.650,0.506,0.500,1.250,0.826
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,1.108
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,0.877
j,correct,1,-0.650,-0.650,0.500,0.600,20.000,0.778
j,correct,1,-0.650,-0.650,0.500,0.550,10.000,0.597
0.0,timeout,0,-0.650,-0.650,0.512,0.500,2.500,2.008
f,correct,1,-0.650,-0.650,0.550,0.500,10.000,0.661
j,correct,1,-0.650,-0.650,0.475,0.500,5.000,0.827
j,correct,1,-0.650,-0.650,0.487,0.500,2.500,0.631
j,incorrect,0,-0.650,-0.650,0.500,0.494,1.250,1.138
